id;description
1;"LGA1150 (iZ97) ATX 3xPCIe3.0/2.0x16, 3xPCIex1, 4DDR3, 8SATA III, 1xM.2 Socket 3, RAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI* if CPU with Grafic Core), LAN 1Gb, ";
2;"LGA1150 (iZ97) ATX 3xPCIe3.0/2.0x16, 3xPCIex1, 4DDR3, 6SATA III, 1xM.2 Socket 3, RAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI* if CPU with Grafic Core), LAN 1Gb";
3;"LGA1150 (iZ97) mATX 2xPCIe3.0/2.0x16, 3xPCIex1, 4DDR3, 6SATA III, 1xM.2 Socket 3, RAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI* if CPU with Grafic Core), LAN 1Gb";
4;"LGA1150 (iZ97) mATX 3xPCIe3.0/2.0x16, 1xPCIex4, 1xmini-PCIe, 4DDR3, 8SATA III,  1xM.2 Socket 3,  RAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI/DP* if CPU with Grafic Core), LAN 1Gb ";
5;"LGA1150 (iZ97) ATX 3xPCIe3.0/2.0x16, 2xPCIex1, 2xPCI, 4DDR3, 6SATA III,1xSATA Express port, 1xM.2 Socket 3, 4xRAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI/DP* if CPU with Grafic Core) LAN 1Gb";
6;"LGA1150 (iZ97) ATX 2xPCIe3.0/2.0x16, 2xPCIex1, 2xPCI, 4DDR3, 6SATA III,1xM.2 Socket 3, RAID(0,1,5,10), 6 USB 3.0, 8ch AC97, SVGA (with DVI/HDMI* if CPU with Grafic Core) LAN 1Gb";
7;"(LGA1150, Haswell Refresh, 4-Core, HT, 4.0-4.4ГГц (Turbo Bust), Unblock mult., 8MБ L3 кеш, Grafic Core HD4600 up to 1250Mhz, 22нм, TDP=88Wt, box)";
8;"(LGA1150, Haswell Refresh, 4-Core, HT, 3.6-4.0ГГц (Turbo Bust), 8MБ L3 кеш, Grafic Core HD4600 up to 1200Mhz, 22нм, TDP=84Wt, box)";
9;"(LGA1150, Haswell Refresh, 4-Core, 3.3-3.7ГГц (Turbo Bust), 6MБ L3 кеш, Grafic Core HD4600 up to 1150Mhz, 22нм, TDP=84Wt, box)";
10;"S-FM2+ BOX AD770KXBJABOX(AD770KXBI44JA, 4 Core, 4MB-L2, 3.4/3.8Ghz, R7 Radeon (512sp/720Mhz), DD3-2133Mhz DC, Kaveri, 95W, 28nm)";
11;"S-FM2 BOX AD680KWOHLBOX (AD680KWOA44HL, 4 Core, 4MB-L2, 4.1/4.4Ghz, HD8670D (256sp/844Mhz), DD3-2133Mhz DC, Richland, 100W, 32nm)";
12;"S-FM2 BOX AD540KOKHJBOX (AD540KOKA23HJ, 2 Core, 1MB-L2, 3.6/3.8Ghz, Unlocked, HD7540D (192sp/760Mhz), DD3-1866Mhz DC, Trinity, 65W, 32nm)";
13;"DDR3 8GB (2x4GB) 2400MHz <PC3-12800>";
14;"DDR3 8GB 1600MHz <PC3-12800> ";
15;"DDR3 8GB 1600MHz <PC3-12800>";
16;"DDR3 8GB 1333MHz <PC3-10600>";
17;"8GB (PD8GH2GRALKR9) USB2.0 ";
18;"16GB (PD16GH2GRCOMXR9) USB2.0 ";
19;"16GB (PD16GH2GRCOKWR9) USB2.0 ";
20;"2.5"" 120GB  SATA 3 V300 read 450MB/s, write 450MB/s";
21;"2.5"" 120GB  SATA 3 HyperX read 555MB/s, write 510MB/s";
22;"2.5"" 120GB  SATA 3 HyperX FURY read 420MB/s, write 420MB/s (7mm)";
23;"1TB 7200 rpm 64MB Serial ATA 3";
24;"1TB 7200 rpm 64MB Serial ATA 3                                       ";
25;"2TB 64M 7200RPM Hard Drive for NAS SATA 3";
26;"2TB 64M 7200RPM Optimal Storage for NAS and Scale-Out Architectures";
27;"2TB 64M 7200RPM SATA 3";
28;"2,5"" 500GB  USB 2.0 Black RTL";
29;"2,5"" 500GB USB 2.0/eSATA White RTL";
30;"2,5"" 500GB USB 2.0/eSATA Brown RTL";
31;"DVD+/-RW Drive Dual Layer DL+8x/-6x, +8x8x/-8x6x, RAM 5x, CD 24x16x24x EXT, USB, RTL";
32;"DVD+/-RW Drive Dual Layer DL+8x/-6x, +8x8x/-8x6x, RAM 5x, CD 24x16x24x EXT, USB, RTL";
33;"DVD+/-RW Drive External Dual Layer DL+8x/-8x, +8x8x/-8x8x, RAM 5x, CD 24x16x24x EXT, USB, M-DISC Support, RTL";
34;"USB Mini Bluetooth Class 2 ST-Lab 20m, USB 2.0, black";
35;"USB Mini Bluetooth Class 2 ST-Lab 10m, USB 1.1, antracite";
36;"PCI-E x16 3.0 8GB (512bit) GDDR5 AMD R9 390 (1000/6000Mhz) 2DVI +1HDM+1DP                            new!!!";
37;"PCI-E x16 3.0 2GB (256bit) GDDR5 AMD R9 380 (1010/990/5500Mhz) 2DVI +1HDM+1DP                            new!!!";
38;"PCI-E x16 3.0 4GB (256bit) DDR5 GTX980 (1178-1279/7010Mhz)  2DVI + 1HDMI + 3DP(RTL)";
39;"PCI-E x16 3.0 4GB (256bit) DDR5 GTX970 (1088-1228/7010Mhz)  2DVI + 1HDMI + 1DP(RTL)";
40;"High-end webcam streams superb quality video over much less bandwidth. HD cutting-edge technology - H.264 - delivers video faster, clearer and with far less lag time than you've experienced before.";
41;"300K Pixels, Built in microphone, Front sliding cover, White LED lighting, 360 Degree Rotation";
42;"350K Pixels, White Balance, Focus Range 10cm to Infinity, Net Meeting, Non-directional Design, Snap Shot Button, Lens Cover";
43;"2.0 5Вт (RMS), черные, разьем для наушников, питание USB";
44;"2.1 USB-картридер и MP3-плеер, сабвуфер: 260х200х200мм, сателлиты: 100х160х109мм";
45;"2.1 configuration • 2x9,5+21W RMS, 48Hz-20kHz (980-000367)";
46;"ATX Mini Tower Black (без БП, 3.5*3(HIDDEN), 2xUSB2.0&Audio, Tool-Free, Dust air filter ) ";
47;"ATX Mini Tower Black (500W PPFC CM Elite, 5.25*1, 3.5*1, 3.5*3(HIDDEN), 2xUSB3.0&Audio, Tool-Free, Dust air filter ) ";
48;"ATX Mini Tower Black (500W APFC Thunder, 5.25*1, 3.5*1, 3.5*3(HIDDEN), 2xUSB2.0&Audio, Tool-Free, Dust air filter ) ";
49;"Midi-Tower ATX 400W (24pin, SATA Power, 4x5,25', 1x3.5"", 5x3,5' (hidden), USB 3.0/Audio (www.logicfox.ua/catalog?id=441)";
50;"Midi-Tower ATX 400W (24pin, SATA Power, 3x5,25', 1x3.5"", 5x3,5' (hidden), USB 2.0/Audio (www.logicfox.ua/catalog?id=1202)";
51;"Midi-Tower ATX 400W (24pin, SATA Power, 3x5,25', 1x3.5"", 5x3,5' (hidden), USB 2.0/Audio (www.logicfox.ua/catalog?id=1203)";
52;"ATX 400WT PSU (ATX12V2.3, active PFС, >85% effic.,20/24+4pin MB, 1x6+2PIN PCIe, 3xSATA, 3xMolex Power Connectors, 1x8PIN EPS (4+4), 120mm smart-FAN)";
53;"ATX 400WT PSU (ATX12V2.3, 20/24pin MB, active PFС, 1x6-pin PCI-E, 2x2 SATA Power Connectors, 120mm smart-FAN)";
54;"ATX 450WT PSU (ATX12V2.3, active PFС, 80+ effic.,20/24+4pin MB, 1x6+2PIN PCIe, 3xSATA, 2xMolex Power Connectors, 120mm smart-FAN)";
55;"ATX 450WT PSU (ATX12V2.3, active PFС, >85% effic.,20/24+4pin MB, 1x6+2PIN PCIe, 3xSATA, 3xMolex Power Connectors, 1x8PIN EPS (4+4), 120mm smart-FAN)";
56;"LCD 27"" Wide, 0.311mm, 300cd/m2, LED, 80000000:1(ASCR), 170/160, 1ms(Gray to Gray), 1920x1080 , 2xHDMI, DP,speakers TCO'03 черный";
57;"LCD 27"" Wide, 0.311mm, 300cd/m2, LED, 80000000:1(ASCR), 170/160, 1ms(Gray to Gray), 1920x1080 , 2xHDMI, speakers) TCO'03 черный";
58;"LCD 27"" Wide, 0.311mm, 300cd/m2, 100000:1(ASCR), 170/160, 2ms(Gray to Gray), 1920x1080 , Webcam (2Mp), DVI-D, HDMI, DP, speakers) TCO'03 черный";
59;"LCD 29"" Ultra-wide 21:9,  AH-IPS, Cinematic Monitor, 0.262mm, 300cd/m2,  80000000:1(ASCR), 178/178, 5ms(Gray to Gray), 2560x1080 , DVI-D, HDMI, DP, speakers, pivot, 6 x usb hub черный";
60;"LCD 21.5"" 16:9, 200cd/m2, LED, 10000000:1(SmartContrast), 90/65, 5ms, 1920x1080 Black";
61;"LCD 21,5"" 16:9, IPS, 250cd/m2, LED, 20000000:1(SmartContrast), 178/178, 14ms, 1920x1080 , DVI-D Glossy Black cherry";
62;"LCD 23.8"" Wide, LED, AH-IPS, 250cd/m2, 5000000:1(DFC), 178/178, 5mc, 1920x1080, HDMI черный ";
63;"LCD 23.8"" Wide, LED, AH-IPS, 250cd/m2, 5000000:1 (DFC), 178/178, 5mc, 1920x1080, 2HDMI, speakers фабричная калибровка цвета, черный ";
64;"LCD 27"" Wide LED, AH-IPS, 250cd/m2, 5000000:1(DFC), 178/178, 5mc, 1920x1080, HDMI черный глянцевый ";
65;"PS/2 Black , standard, UA layout, waterproof";
66;"USB Black , standard, UA layout, waterproof";
67;"USB, LED подсветка букв синим цветом, ступенчатая регулировка яркости (0-30-60-100%), мультимедия";
68;"USB, LED подсветка букв белым цветом, ступенчатая регулировка яркости (0-30-60-100%), мультимедия";
69;"USB, Red/White Оптическая Мини, 3 buttons, wheel 2x, 800dpi";
70;"USB, оптическая, 1000dpi, 2x кнопка, mini";
71;"USB, LED, black, BOX";
72;"USB, Optical 1000/1500/3000DPI, черная, LED подсветка, игровая";
73;"USB (http://www.goldenfield.com.ua/V710.htm)";
74;"USB (http://www.goldenfield.com.ua/V720.htm)";
75;"USB 1200dpi, Stick-N-Go, 2.4GHz, 5 кнопок";
76;"USB, Skype телефон, 1200dpi";
77;USB;
78;USB;
79;"Professional 64-bit English (Multilanguage) OEM DVD (FQC-06949)";
80;"1 year Base (на 2 компьютера)";
81;"обновление на год на 2 компьютера";
